Nama Produk;Kode Produk;Harga Jual;Harga Modal;Stok;Fee Reseller (%);Fee Affilator (%);Sort Order
PAKET BUMBU DAPUR;PRD-0200;5000;2000;1000;10;5;0
ASEM 50 gr;PRD-0152;1500;975;1000;10;5;1
ASEM 1 kg;PRD-0151;27000;17550;1000;10;5;2
BAWANG DAUN 100 gr;PRD-0129;5500;1658;1000;10;5;3
BAWANG DAUN 250 gr;PRD-0128;8500;4144;1000;10;5;4
BAWANG DAUN 500 gr;PRD-0127;14500;7313;1000;10;5;5
BAWANG DAUN 1 kg;PRD-0126;22500;14625;1000;10;5;6
BAWANG MERAH 100 gr;PRD-0029;4500;2925;1000;10;5;13
BAWANG MERAH 250 gr;PRD-0028;14000;6906;1000;10;5;14
BAWANG MERAH 500 gr;PRD-0027;24500;12188;1000;10;5;15
BAWANG MERAH 1 kg;PRD-0026;43000;24375;1000;10;5;16
BAWANG PUTIH HONAN 100 gr;PRD-0161;7500;3510;1000;10;5;18
BAWANG PUTIH HONAN 250 gr;PRD-0160;14500;8288;1000;10;5;19
BAWANG PUTIH HONAN 500 gr;PRD-0159;23500;14625;1000;10;5;20
BAWANG PUTIH HONAN 1 kg;PRD-0158;45000;29250;1000;10;5;21
BAWANG PUTIH KUTING 100 gr;PRD-0166;8000;4095;1000;10;5;23
BAWANG PUTIH KUTING 250 gr;PRD-0165;16000;9669;1000;10;5;24
BAWANG PUTIH KUTING 500 gr;PRD-0164;29000;17063;1000;10;5;25
BAWANG PUTIH KUTING 1 kg;PRD-0163;52500;34125;1000;10;5;26
BAYAM 1 IKET;PRD-0157;6000;3510;1000;10;5;27
BOMBAY 100 gr;PRD-0171;7000;2925;1000;10;5;29
BOMBAY 250 gr;PRD-0170;12000;6906;1000;10;5;30
BOMBAY 500 gr;PRD-0169;21000;12188;1000;10;5;31
BOMBAY 1 kg;PRD-0168;37500;24375;1000;10;5;32
BUNCIS 250 gr;PRD-0087;11500;6078;1000;10;5;33
BUNCIS 500 gr;PRD-0086;21000;10725;1000;10;5;34
BUNCIS 1 kg;PRD-0085;36000;21450;1000;10;5;35
CABE KERITING HIJAU 100 gr;PRD-0059;10000;2925;1000;10;5;37
