Nama Produk;Kode Produk;Harga Jual;Harga Modal;Fee Reseller (%);Fee Affilator (%)
ASPARAGUS 1 KG;4MBOSWUX;35;22750;8;5
ASPARAGUS 1 gr;6IRNEZRU;35;2275;12;7
ASPARAGUS 250 gr;PUPHU831;9;5850;12;7
ASPARAGUS 5 gr;IPTSEJQR;175;11375;10;6
ASPARAGUS BULKY 20 KG;TLPGHPLJ;630;4095;5;3
BAWANG BREBES SC BULKY 50 KG;L6ENNJFR;1440;936;5;3
BAWANG DAUN 1 KG;LZIWAJTH;20;13;10;6
BAWANG DAUN 1 gr;4RKCOY9U;2;13;12;7
BAWANG DAUN 250 gr;DQEH2DSS;5;3250;12;7
BAWANG DAUN 5 gr;HGIH5LZE;10;65;10;6
BAWANG DAUN BULKY 10 KG;TABEL4US;180;117;5;3
Bawang Merah Brebes 1kg;BAWANGMERAHBREBES1KG-EE28;28;182;10;5
BAWANG MERAH BREBES ABC 1 kg;HCZS6YAM;31;20150;8;5
BAWANG MERAH BREBES ABC 1 gr;F2A70YWP;3;1950;12;7
BAWANG MERAH BREBES ABC 150 gr;RDUJSH1G;45;2925;12;7
BAWANG MERAH BREBES ABC 250 gr;WI6GUSNJ;8;52;12;7
BAWANG MERAH BREBES ABC 50 gr;T2ZWQWZO;15;975;12;7
BAWANG MERAH BREBES ABC 5 gr;YFJUDRK2;155;175;10;6
BAWANG MERAH BREBES ABC BULKY 50 KG;RZGXOST2;1395;906750;5;3
BAWANG MERAH BREBES SC 1 kg;TGJRVQON;32;208;8;5
BAWANG MERAH BREBES SC 1 gr;RKC554HD;3;1950;12;7
BAWANG MERAH BREBES SC 150 gr;4JIMZC01;5;3250;12;7
BAWANG MERAH BREBES SC 250 gr;RLSHZSIT;8;52;12;7
BAWANG MERAH BREBES SC 50 gr;WDU3WGO8;15;975;12;7
BAWANG MERAH BREBES SC 5 gr;YQYA5SGG;16;104;10;6
BAWANG MERAH BREBES SPR 1 kg;FMVNSODW;30;195;8;5
BAWANG MERAH BREBES SPR 1 gr;DWWF9YMP;3;1950;12;7
BAWANG MERAH BREBES SPR 150 gr;FLPS2F1B;45;2925;12;7
BAWANG MERAH BREBES SPR 250 gr;U3JVXXWI;75;4875;12;7
BAWANG MERAH BREBES SPR 50 gr;8JAB2ZCL;15;975;12;7
BAWANG MERAH BREBES SPR 5 gr;WH4GGSGE;15;9750;10;6
BAWANG MERAH BREBES SPR BULKY 50 KG;X3PY9DX8;1350;8775;5;3
BAWANG MERAH DAERAH ABC 1 kg;BYGXBVHC;29;18850;10;6
BAWANG MERAH DAERAH ABC 1 gr;KDRI1DVZ;3;1950;12;7
BAWANG MERAH DAERAH ABC 150 gr;VQHB3NHK;45;2925;12;7
BAWANG MERAH DAERAH ABC 250 gr;YY6XJOSZ;75;4875;12;7
BAWANG MERAH DAERAH ABC 50 gr;7I4BOOKO;15;975;12;7
BAWANG MERAH DAERAH ABC 5 gr;WEPSTS;145;9425;10;6
BAWANG MERAH DAERAH ABC BULKY 50 KG;TPAVTDCI;1305;848250;5;3
BAWANG MERAH DAERAH SC 1 kg;AOVLZ1KJ;28;182;10;6
BAWANG MERAH DAERAH SC 1 gr;A4X107QD;3;1950;12;7
BAWANG MERAH DAERAH SC 150 gr;ZIDCSTYU;4;26;12;7
BAWANG MERAH DAERAH SC 250 gr;ZBAG4RFP;7;4550;12;7
BAWANG MERAH DAERAH SC 50 gr;UQGSA9TF;15;975;12;7
BAWANG MERAH DAERAH SC 5 gr;61EFWLY3;14;91;10;6
BAWANG MERAH DAERAH SPR 1 kg;JZG7CBGZ;27;17550;10;6
BAWANG MERAH DAERAH SPR 1 gr;CKRPR1MK;25;1625;12;7
BAWANG MERAH DAERAH SPR 150 gr;IYTHNCUU;4;26;12;7
BAWANG MERAH DAERAH SPR 250 gr;80ZGBOEN;7;4550;12;7
BAWANG MERAH DAERAH SPR 50 gr;HDWRR7;15;975;12;7
BAWANG MERAH DAERAH SPR 5 gr;W70HZLP0;135;8775;10;6
BAWANG MERAH DAERAH SPR BULKY 50 KG;SRUGRABL;1215;789750;5;3
BAWANG PUTIH HONAN 1 KG;94UVCOYX;38;247;8;5
BAWANG PUTIH HONAN 1 gr;C5TDL5DV;4;26;12;7
BAWANG PUTIH HONAN 250 gr;TLWLK7RJ;95;6175;12;7
BAWANG PUTIH HONAN 50 gr;POJUY3LF;2;13;12;7
BAWANG PUTIH HONAN 5 gr;VXEIKGQU;19;12350;10;6
BAWANG PUTIH HONAN BULKY 20 KG;KXYLDJET;684;4446;5;3
Bawang Putih Kating 5g;BAWANGPUTIHKATING5G-346A;30;195;10;5
BAWANG PUTIH KUTING 1 KG;XAUDSSRQ;42;273;8;5
BAWANG PUTIH KUTING 1 gr;9DJKTRZ0;4;26;12;7
BAWANG PUTIH KUTING 250 gr;03SYU5QJ;105;6825;10;6
BAWANG PUTIH KUTING 50 gr;NNNXDKNM;2;13;12;7
BAWANG PUTIH KUTING 5 gr;39IRV9YX;21;13650;10;6
BAWANG PUTIH KUTING BULKY 20 KG;A2YDWPQA;756;4914;5;3
BAYAM 1 KG;FMRR0DBC;8;52;12;7
BAYAM 1 gr;T7QFKQK8;1;650;12;7
BAYAM 250 gr;FPCJVOY7;2;13;12;7
